1,Prymitywne typy danych w javie to:,double i function,int i array,short i boolean,byte i string,3,1
2,Ktory operator sluzy do porownania dwoch wartosci zmiennych prymitywnych ?,=,==,!=,=!,2,1
3,Jakiego slowa kluczowego uzywa sie przy dziedziczeniu po interfejsach,implements,final,extends,finally,1,1
4,To slowo kluczowe Javy oznacza ze uzywamy tej metody bez tworzenia obiektu klasy:,public,void,main,static,4,1
5,Sluzy on do reprezentacji pojedynczych znakow.,int,float,string,char,4,1
6,Typ prosty. Reprezentuje on tylko dwie wartosci:,string,float,char,boolean,4,1
7,Typ danych reprezentujacy liczby zmiennoprzecinkowe.,int,double,long,byte,2,1
8,Ktora kolekcja nie dziedziczy po interfejsie Collection?,ArrayList,Map i SortedMap,LinkedList,AbstractSet,2,1
9,Jakiego slowa kluczowego uzywa sie przy dziedziczeniu po klasach,implements,final,extends,finally,3,1
10,Mamy ponizszy lancuch znakowy: String marek = Czy Marek ma tablet?" Jaka wartosc zwroci wyrazenie marek.length()?,18,19,20,21,3,1
